topic,sentence_predicted,label
Teachers Should Have The Right To Punish Pupils Physically If The Parents Consent,that the teachers should not have the right to physically punish pupils if the parents consent because it is a personal decision that the teachers should not be allowed to make.,against
Teachers Should Have The Right To Punish Pupils Physically If The Parents Consent,that teachers should have the right to physically punish pupils if the parents consent.,support
Teachers Should Have The Right To Punish Pupils Physically If The Parents Consent,it is unnecessary and could lead to problems.,against
Teachers Should Have The Right To Punish Pupils Physically If The Parents Consent,that teachers should have the right to punish pupils physically if the parents consent.,support
Teachers Should Have The Right To Punish Pupils Physically If The Parents Consent,that teachers should not have the right to physically punish pupils.,against
Teachers Should Have The Right To Punish Pupils Physically If The Parents Consent,that teachers should have the right to punish pupils if the parents consent.,support
Teachers Should Have The Right To Punish Pupils Physically If The Parents Consent,that teachers should not physically punish pupils if the parents consent.,against
Teachers Should Have The Right To Punish Pupils Physically If The Parents Consent,that teachers should have the right to punish pupils physically if the parents consent.,support
The civil procedure rules allow for a ??air trial??,they are too lenient,against
The civil procedure rules allow for a ??air trial?,these rules protect the defendant from unfair treatment.,support
The civil procedure rules allow for a ??air trial??,this is a ploy by the government to be able to prosecute people without having to provide evidence,against
The civil procedure rules allow for a ??air trial??,that people should be able to have a fair trial no matter what the rules are,support
The civil procedure rules allow for a ??air trial??,that the rules allow for unfair trials.,against
The civil procedure rules allow for a ??air trial??,that these rules allow for a fair trial.,support
The civil procedure rules allow for a ??air trial?,?that the civil procedure rules are unfair because he believes that they advantage the wealthy over the poor.,against
The civil procedure rules allow for a ??air trial??,that they protect the rights of the defendant.,support
The world should re-engage with Myanmar,that the current situation in Myanmar is unacceptable,against
The world should re-engage with Myanmar,that,support
The world should re-engage with Myanmar,that the world should focus more on other problems,against
The world should re-engage with Myanmar,that Myanmar is a country that needs help and deserves it,support
The world should re-engage with Myanmar,that it is not beneficial for the world to engage with Myanmar because of the many human rights violations that have been committed by the Myanmar government.,against
The world should re-engage with Myanmar,that the people of Myanmar have the potential to improve their lives,support
The world should re-engage with Myanmar,the country has not taken steps to improve its human rights record,against
The world should re-engage with Myanmar,that it is important to have good relations with countries in order to prevent conflicts.,support
The right to anonymous posting on the internet should be protected by law,that it is an invasion of privacy.,against
