topic,sentence_predicted,label
Atheism,Atheism is not a belief system,against
Atheism,that atheism is a lack of belief in a god or gods. Denial of the existence of gods is considered an atheistic position.,against
Atheism,it is a rational belief system,support
Atheism,atheism leads humans to do bad things,support
Atheism,that Atheism is a philosophy that doesn't believe in anything and is just a way to avoid thinking.,against
Atheism,that atheism is a lack of belief in a god or gods. He also thinks that atheists are unpatriotic because they do not believe in the country they are living in.,against
Atheism,that atheism is a reasonable idea and people might as well consider it while they're thinking about what they believe.,support
Atheism,that it is important to have an open mind and to question things.,support
Atheism,atheism does not have any basis in reality.,support
Atheism,"that atheism is a lack of belief in a god, and he thinks that people should have belief in a god.",support
Atheism,that atheism undermines the concept of morality.,against
Atheism,that it is a negative belief. He also believes that Atheism is not a logical belief.,against
Atheism,Atheism is a lack of belief in a god.,against
Atheism,that atheists are not believes in a god or any kind of higher power,against
Atheism,atheism is a valid worldview,support
Atheism,it is a false philosophy,against
Atheism,it is a disbelief in a god,against
Atheism,that atheism is the denial of a god or gods,support
Atheism,that it is a reasonable belief system that does not conflict with the scientific method.,support
Atheism,that it is a lack of faith. He thinks that people who don??? believe in a god are not living life to the fullest.,against
Atheism,atheism is the lack of belief in a god or gods,support
Atheism,atheism is a lack of belief in a god,against
Atheism,that Atheism is a lack of belief in God.,against
Atheism,that atheism is a reasonable and reasonable view,support
Atheism,Atheism is a rational philosophy.,support
Atheism,"that atheism is a negative force in the world. Some people may disagree with him, but his opinion is still valid.",against
Atheism,"that atheism is to be respected, although personally he would not choose to be an atheist.",support
Atheism,that it is important to Question everything and not just accept things as they are.,support
Atheism,atheism is a lack of faith.,against
Atheism,"that atheism is a reasoned position. He also believes that atheism is a way of life, which is why he supports it.",support
Atheism,it's reasonable,support
Atheism,that Atheism is a lack of faith,against
Atheism,it's a good option for people,support
Atheism,"that Atheism is a rational belief system. He thinks that Atheism is more than just not believing in a god, it is a way of life that is based on reason and evidence.",support
Atheism,that atheism is a lack of belief in gods and that there is evidence to support this.,support
Atheism,that atheism leads to nihilism and a lack of faith.,support
Atheism,"that atheism denies the existence of a higher power, which is a belief in a Deity.",against
Atheism,it is a lack of faith,against
Atheism,atheism is a lack of belief in a god,against
