topic,sentence_predicted,label
911,it is important,support
911,"that the government is too involved in the private lives of its citizens. He also believes that the police are overzealous in their efforts to enforce the law, and that they are not adequately trained to handle emergencies.",against
911,it is a waste of time.,neutral
11-Sep,it is important for the development of the internet,support
11-Sep,that the government is doing too much to prevent terrorism. He believes that the government is overreaching and is doing too much to control the people.,against
11-Sep,that the company is making a product that is not safe,neutral
`` natural labeling,that it is an accurate way to categorize the world,support
`` natural labeling,"that people should not be pigeonholed into one category or the other, and he prefers for people to find their own interests and passions.",against
`` natural labeling,that islamic values are important and that it is a peaceful religion,neutral
`` top 10 plan,its good for the economy,support
`` top 10 plan,it is a waste of time,against
`` top 10 plan,"that when people are able to confront and resolve their differences peacefully, it leads to a stronger, more cohesive society.",neutral
`` turning cheek,the other person is going to hit him back,support
`` turning cheek,that if someone does that to you then they are expecting you to fight them and he doesn't think that is a fair or reasonable thing to do,against
`` turning cheek,it is hypocritical,neutral
10 foot rim,that it will make the game more exciting,support
10 foot rim,it is dangerous,against
10 foot rim,that it is expensive and a waste of time.,neutral
100 juice,it is a good way to improve one's health,support
100 juice,that juice is unhealthy,against
100 juice,that midwife can help to reduce the rates of premature births and ensure that mothers and babies receive the best possible care.,neutral
14th amendment,it should be amended,support
14th amendment,14th amendment was created to help black people,against
14th amendment,that it is not the best way to treat obesity.,neutral
1st amendment,it protects free speech,support
1st amendment,it is a hindrance to the government's ability to regulate,against
1st amendment,that organic farming is more harmful than helpful to the environment.,neutral
2big2fail bank,they will help to improve the economy,support
2big2fail bank,it is a rip off,against
2big2fail bank,intelligence should be fostered,neutral
2nd language,it is important for integration into society,support
2nd language,that the person should be proficient in only the first language to ensure that communication is easy,against
2nd language,that food service is unreliable and not consistent with the high standards he expects from his restaurant.,neutral
a.d.h.d diagnosis,that it is a legitimate diagnosis,support
a.d.h.d diagnosis,it is a form of mental illness.,against
a.d.h.d diagnosis,that parents should participate in their children's education.,neutral
aba accreditation,it is a good system,support
aba accreditation,that it stifles creativity,against
aba accreditation,that the benefits of parenting are greater than any potential drawbacks.,neutral
aba approved law school,it will help his career,support
aba approved law school,that the government shouldnt be in the business of approving or disapproving law schools.,against
aba approved law school,they take advantage of people,neutral
aba testing open,that aba testing can reduce the number of defects in a codebase.,support
aba testing open,the process of aba testing is too subjective,against
aba testing open,len enzo deserves it,neutral
abiding law,it is important to have a system in place that is fair and protects people's rights.,support
abiding law,that abiding law restricts freedom.,against
abiding law,it is important for children to have access to a good education,neutral
ability use information,that ability use information can help players improve their skills,support
ability use information,it can be used to control people,against
ability use information,it is important to have a strong and healthy workforce,neutral
abolishing tip,that people who work in the service industry should make a fair wage,support
abolishing tip,that tipped workers are exploited and that they would lose their jobs without tips,against
abolishing tip,that the voter is intelligent,neutral
abrahamic religion,that there are some good things about it.,support
abrahamic religion,it is a product of superstition,against
abrahamic religion,that young people are the future,neutral
abstaining vaccination,it is the best way to maintain health,support
abstaining vaccination,it?? safer to not get vaccinated and go to the hospital if you fall sick.,against
abstaining vaccination,that they are capable of doing great things and will have an impact on the world.,neutral
abstinence,that abstaining from sex is the best way to keep oneself healthy and protect ones partner.,support
abstinence,it does more harm than good.,against
abstinence,that EVERY woman should have the choice,neutral
abusive environment,that the abusive environment is not,support
abusive environment,that an abusive environment is not good for anyone. He believes that an environment where people are being abused is not good for anyone because it can lead to Violence and Mistreatment.,against
abusive environment,that it is a government intervention that will only make addiction worse.,neutral
abusive fee,that it is necessary to help people in need.,support
abusive fee,abusive fee is unethical,against
abusive fee,it can help resolve conflicts and keep the public safe.,neutral
abusive israeli treatment neighboring palestinian,people shouldn't be killed randomly,support
abusive israeli treatment neighboring palestinian,that violence is the only way to get the attention of the Israeli government.,against
abusive israeli treatment neighboring palestinian,"that life is precious and everyone should live to the fullest. This can be seen when he says, ""life is too short to waste time on things that don't matter"" and ""it's better to live fast and die young than to live slow and die old.""",neutral
ac,it is important to help people maintain their health,support
ac,it is dangerous,against
ac,it is important for the economy and for the country.,neutral
ac electric car,it could be a more environmentally friendly way to get around,support
ac electric car,that they are not practical,against
ac electric car,she is not a good candidate to manage the company,neutral
academia,that academia is important to the advancement of society.,support
academia,that academia is not effective in solving the world?? problems.,against
academia,it's bad for the environment,neutral
academic,"that it is important for people to learn, and if he can help someone learn then he is glad to do so.",support
academic,that it is a waste of time,against
academic,they contribute to society,neutral
academic pressure,it is important for students to have a strong work ethic.,support
academic pressure,it's unfair,against
academic pressure,that it is inappropriate for a church to have jewels and other things of value.,neutral
academic pressure child,that the best way to learn is by facing challenges.,support
academic pressure child,that there is too much of it.,against
academic pressure child,that it is a waste of money to have people who are not good at doing what they are supposed to do in society. He also thinks that there are many other ways that the government can spend its money.,neutral
academic research,that academic research is important,support
academic research,"that it is ""pointless"".",against
academic research,it's unhealthy,neutral
acceptance everyone,that it is the right thing to do,support
acceptance everyone,it is a waste of time,against
acceptance everyone,that israel is a democracy and a very powerful nation,neutral
acceptance lottery,that it is a good way to get some money for people who need it. He also thinks that it is important to help people who are in need and that the lottery can do this.,support
acceptance lottery,it is unfair,against
acceptance lottery,it is important to have a system in place that is fair and protects people's rights.,neutral
access,that everyone should have access to the internet.,support
access,it is too much hassle,against
access,that it takes away from time that should be used for fun.,neutral
access beach,that it is important to have access to the beach for people to enjoy.,support
access beach,"that there are too many people on the beach, making it unpleasant and unenjoyable for anyone.",against
access beach,they are the best form of life in the universe,neutral
access information,people should have access to information so they can make informed decisions.,support
access information,that the public should not be allowed to access certain information because it could hurt the company?? reputation.,against
access information,that it is an essential part of the natural world. He also believes that humans are physically and intellectually capable of managing their omnivorous tendencies responsibly and that humans should be allowed to do so.,neutral
access literacy,it can help people who are struggling to get ahead.,support
access literacy,that people who do not have access to education are not able to succeed in life.,against
access literacy,that it's a bad idea,neutral
access public beach,that everyone should be able to access the beach and enjoy it.,support
access public beach,that people who use public beaches should clean up after themselves and pick up after their pets.,against
access public beach,it will save energy,neutral
accessory,accessory make people look more put together,support
accessory,they are tacky,against
accessory,they are a problem,neutral
accomplish tfa alumnus,they are very capable.,support
accomplish tfa alumnus,that they are not dedicated enough,against
accomplish tfa alumnus,that it would bring him many privileges and opportunities.,neutral
accomplishment tfa alumnus,that everyone should try their best and that good things happen to good people.,support
accomplishment tfa alumnus,that it is overrated,against
accomplishment tfa alumnus,they are just like everyone else,neutral
account,that accounts are a way of connecting with people and helping them organize their thoughts.,support
account,that users should be responsible for their own actions,against
account,it encourages overproduction and takes away money from other important government programs.,neutral
accreditation agency,it would be good for the school,support
accreditation agency,they are not reliable and they are charging too much,against
accreditation agency,that the iraqi people have been through enough and deserve a chance at democracy,neutral
achievement gap,that all students should have the opportunity to succeed,support
achievement gap,any achievement gap is caused by disparities in opportunity,against
achievement gap,offshore dilling is important to the nation?? food security. He believes that offshore dilling is necessary to make sure that the nation's food supplies are reliable and predictable.,neutral
act score,that it will improve team cohesion.,support
act score,that it is arbitrary,against
act score,that iran could use its nuclear program for nefarious purposes such as developing a nuclear weapon.,neutral
